trial,learning_rate,weight_decay,dropout,batch_size,optimizer,best_val_accuracy,training_time_seconds
0,2.3001813881439134e-05,2.517192831085054e-06,0.3667362763216861,16,Adam,0.779746835443038,1093.8483583927157
1,1.8808328066149516e-05,1.8498292103374528e-06,0.4396036800380439,16,Adam,0.779746835443038,695.304238319397
2,5.49498407789257e-05,1.857838744887236e-05,0.1337284713676344,32,Adam,0.7772151898734178,640.2245163917542
